watershed_feature_id,map
9705396,417.54488518
9706055,447.5185847
9707915,395.010181
9747693,405.46047073
9709602,441.0683908
9702745,355.91666667
9711187,476.3629424
9712987,415.60714286
9713793,463.30283912
9701818,494.17374762
9708518,434.176
9710912,384.33333333
9701643,377.43714609
9706809,512.55737705
9740598,496.15140187
8303602,425.13775992
9704657,
9710616,496.89852787
9714059,365.83116883
7649554,434.87
9959057,354.47214854
9958629,352.09814919
7649556,432.57894737
9740565,467.62505202
9701830,442.5
8022433,349.84242424
9713226,435.09836066
9703008,443.3354232
9702964,442.8115942
9701740,454.08333333
9700608,475.59701493
9714570,394.04
9712979,573.9086758
9701738,570.74298056
9715966,553.27361564
9711688,524.03745318
9708445,426.46899225
9959256,565.14333613
9715097,536.00243902
9713976,549.96969697
9714884,558.90765391
9702436,383.33519553
9713914,475.72764228
9703838,507.56401384
9708547,564.77931034
9706890,550.06487696
9713871,393.22628726
9703751,482.33980583
9702314,548.62720403
9701948,548.92253521
9705597,453.72477064
7645736,532.0
9703429,500.37826087
9715411,507.5202952
9707473,488.8
9717759,446.5068306
9705144,469.40963855
9712235,575.04362416
9714381,542.45340502
9704832,545.13157895
9709096,520.26415094
9700878,577.36507937
9705698,548.34782609
9713722,572.04857143
9715753,565.36111111
9709064,368.35315424
9713231,375.02380952
9965249,535.58928571
9705358,482.5483871
9703285,533.57971014
9714644,574.90107527
9704007,555.16666667
9715646,421.33333333
9705716,498.86597938
7645513,810.75757576
9708138,842.94308943
8756516,834.25806452
9712448,800.80055402
9715439,861.46616541
9715970,985.24390244
9712242,782.18181818
9710670,860.53658537
9713142,910.85380117
9701784,866.99253731
9716249,845.44285714
9707359,
8683746,843.0
9704996,855.172
9709594,
9703784,948.54516129
9710300,921.6010101
9702920,863.0
9702434,771.79591837
9713837,925.17045455
9707968,894.0
9716075,823.85840708
9707881,810.0
9710557,819.88284519
9701407,804.75806452
9711161,827.73469388
8303179,770.74528302
9710110,819.0
8768374,808.53333333
9701680,891.14285714
9704176,794.36082474
9711282,975.29651163
9713096,950.62068966
9713028,806.0
9701696,847.89823009
8938702,365.0
