stream_crossing_id,modelled_crossing_id,linear_feature_id,watershed_group_code,reviewer,notes
57140,6801572,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57141,6801561,NA,HORS,NA,NA
57142,6801689,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57143,6801978,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57144,6800885,NA,HORS,NA,NA
57145,6801969,NA,HORS,NA,NA
57146,6801976,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57147,6801966,NA,HORS,NA,NA
57148,NA,NA,HORS,NA,NA
57149,6801582,NA,HORS,NA,NA
57150,6801431,NA,HORS,NA,NA
57151,6801760,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57152,6801434,NA,HORS,NA,NA
57153,6801435,NA,HORS,NA,NA
57154,6801660,NA,HORS,NA,NA
57155,NA,NA,HORS,NA,NA
57156,NA,NA,HORS,NA,NA
57157,6802292,NA,HORS,NA,NA
57158,6800596,NA,HORS,NA,NA
57159,NA,701430260,HORS,NJO,Review
57160,6802368,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57161,6801777,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57162,6801219,NA,HORS,NA,NA
57163,6801344,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57164,6801776,NA,HORS,NA,NA
57165,6801331,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57166,6801332,NA,HORS,NA,NA
57167,6801599,NA,HORS,NA,NA
57168,24708567,NA,HORS,NA,NA
57169,6801401,NA,HORS,NA,NA
57170,NA,701428127,HORS,NA,NA
57171,NA,NA,HORS,NA,NA
57172,NA,NA,HORS,NA,NA
57173,6801406,NA,HORS,NA,NA
57175,6802326,NA,HORS,NA,NA
57176,6802327,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57177,6802329,NA,HORS,NA,NA
57178,6801445,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57179,6801446,NA,HORS,NA,NA
57180,6801400,NA,HORS,NA,NA
57181,24708561,NA,HORS,NA,NA
57182,6801408,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57183,6802272,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57184,6801543,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57185,6800497,NA,HORS,NA,NA
57186,6801379,NA,HORS,NA,NA
57187,6801403,NA,HORS,NA,NA
57189,6801553,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57190,6801556,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57191,6801547,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57192,6802070,NA,HORS,NA,NA
57193,6802067,NA,HORS,NA,NA
57194,6802068,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57195,6800761,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57196,6800761,NA,HORS,NA,NA
57197,6802074,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57198,24708572,NA,HORS,NA,NA
57199,24708565,NA,HORS,NA,NA
57200,6801563,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57201,24708560,NA,HORS,NA,NA
57202,6801104,NA,HORS,NA,NA
57203,6801313,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57204,6802400,NA,HORS,NA,NA
57205,6801888,NA,HORS,NA,NA
57206,NA,701399056,HORS,NA,NA
57207,6802403,NA,HORS,NA,NA
57208,6801610,NA,HORS,NA,NA
57209,6801568,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57220,NA,NA,HORS,NA,NA
57221,6800623,NA,HORS,NA,NA
57222,NA,NA,HORS,NA,NA
57223,6800090,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57224,6800091,NA,HORS,NA,NA
57225,24708570,NA,HORS,NA,NA
57226,24708571,NA,HORS,NA,NA
57227,NA,NA,HORS,NA,NA
57228,6800138,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57229,6801402,NA,HORS,NA,NA
57230,6801140,NA,HORS,NA,NA
57231,6801139,NA,HORS,NA,NA
57232,6801802,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57234,6801812,NA,HORS,NA,NA
57235,NA,NA,HORS,NA,NA
57236,6801650,NA,HORS,NA,NA
57237,6801645,NA,HORS,NA,NA
57238,6801649,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57239,6801935,NA,HORS,NA,NA
57240,6801934,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57241,6801930,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57242,6801932,NA,HORS,NA,NA
57243,6801936,NA,HORS,NA,NA
57244,6801931,NA,HORS,NA,NA
57245,6801933,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57246,6801651,NA,HORS,NA,NA
57247,6801648,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57248,6801644,NA,HORS,NA,NA
57249,6801647,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57250,6801646,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57251,NA,701420220,HORS,NA,NA
57252,6800634,NA,HORS,NA,NA
57253,6801804,NA,HORS,NA,NA
57254,6800618,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57255,NA,NA,HORS,NA,NA
57256,6801814,NA,HORS,NA,NA
57257,6802176,NA,HORS,NA,NA
57258,NA,701419797,HORS,NA,NA
57259,NA,NA,HORS,NJO,Not on a mapped stream
57260,6802040,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57261,NA,NA,HORS,NJO,Not on a mapped stream
57262,6802039,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57263,6800617,NA,HORS,NA,NA
57264,6800615,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57265,6802280,NA,HORS,NA,NA
57266,6802278,NA,HORS,NA,NA
57267,6802283,NA,HORS,NA,NA
57268,6802282,NA,HORS,NA,NA
57269,6801399,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57270,NA,NA,HORS,NA,NA
57271,6800635,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57272,6800637,NA,HORS,NA,NA
57273,6801404,NA,HORS,NA,NA
57274,6802013,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57275,6802332,NA,HORS,NA,NA
57276,NA,701423225,HORS,NA,NA
57277,6801398,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57278,6800620,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57279,6800619,NA,HORS,NA,NA
57280,24708562,NA,HORS,NA,NA
57281,6801133,NA,HORS,NA,NA
57282,6800610,NA,HORS,NA,NA
57283,6800611,NA,HORS,NA,NA
57284,6800609,NA,HORS,NA,NA
57285,6801914,NA,HORS,NA,NA
57286,NA,NA,HORS,NA,NA
57287,NA,NA,HORS,NA,NA
57288,6802180,NA,HORS,NA,NA
57290,6801770,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57291,6801770,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57292,6802284,NA,HORS,NA,NA
57293,6801475,NA,HORS,NA,NA
57294,6802325,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57296,6802289,NA,HORS,NA,NA
57297,NA,NA,HORS,NA,NA
57298,24708568,NA,HORS,NA,NA
57299,6800624,NA,HORS,NA,NA
57300,6802285,NA,HORS,NA,NA
57301,6801662,NA,HORS,NA,NA
57302,6802092,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57303,24708578,NA,HORS,NA,NA
57304,6801982,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57305,6801985,NA,HORS,NA,NA
57306,6801983,NA,HORS,NA,NA
57307,6801984,NA,HORS,NA,NA
57308,6801595,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57309,NA,NA,HORS,NA,NA
57310,NA,NA,HORS,NA,NA
57311,NA,NA,HORS,NA,NA
57312,NA,NA,HORS,NA,NA
57313,NA,NA,HORS,NA,NA
57314,6801653,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57315,6800590,NA,HORS,NA,NA
57316,NA,NA,HORS,NA,NA
57317,6800584,NA,HORS,NA,NA
57318,6801987,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57319,6800276,NA,HORS,NA,NA
57320,NA,NA,HORS,NA,NA
57321,6801805,NA,HORS,NA,NA
57322,6801799,NA,HORS,NA,NA
57323,6801813,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57324,6801800,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57325,6801795,NA,HORS,NA,NA
57326,6801797,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57327,NA,NA,HORS,NA,NA
57328,6801803,NA,HORS,NA,NA
57329,6801796,NA,HORS,NA,NA
57330,6801962,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57331,6801961,NA,HORS,NA,NA
57332,NA,NA,HORS,NA,NA
57333,6801964,NA,HORS,NJO,Matched to closest stream model (Manual Review)
